,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
773,H5 Data Centers Denver,H5 Data Centers,5350 South Valentia Way,Greenwood Village,Colorado,39.6172101,-104.950814,,
774,Handy Networks,"Handy Networks, LLC","1801 California St, Suite 240",Denver,Colorado,39.7392364,-104.984862,,
775,HOSTING - Denver,HOSTING,"900 S. Broadway, Suite 400",Denver,Colorado,39.7392364,-104.984862,,
776,Icelab Networks,Icelab Networks,Secret location,Denver,Colorado,39.7392364,-104.984862,,
777,Iron Mountain Data Centers DEN-1,Iron Mountain,4300 Brighton Blvd,Denver,Colorado,39.7392364,-104.984862,,
778,Latisys - DEN2,Latisys,6900 S. Peoria Street,Centennial,Colorado,39.579155,-104.8769227,,
779,Latisys-Denver,Latisys,393 Inverness Parkway,Englewood,Colorado,39.6482059,-104.9879641,,
780,Lumen Denver 1,Lumen,1850 Pearl Street,Denver,Colorado,39.7392364,-104.984862,,
781,Lumen Denver 3,Lumen,910 15th Street,Denver,Colorado,39.7392364,-104.984862,,
782,Massive Networks - Denver,Massive Networks,910 15th st.,Denver,Colorado,39.7392364,-104.984862,,
783,Massive Networks-Boulder,Massive Networks,382 S. Arthur Ave,Louisville,Colorado,39.977763,-105.1319296,,
784,SungardAS Aurora,Sungard Availability Services,3431 N. Windsor Dr,Aurora,Colorado,39.7405111,-104.8309947,,
785,SungardAS Thornton,Sungard Availability Services,550 East 84th Street,Thornton,Colorado,39.8695516,-104.985181,,
786,Thornton Colorado Data Center,Morgan Reed Group,12121 Grant Street,Thornton,Colorado,39.8695516,-104.985181,,
787,tw telecom Denver,tw telecom,14200 E Jewell Ave,Aurora,Colorado,39.7405111,-104.8309947,,
788,"Vastnet - Denver, CO",Vastnet,800E 73rd Av,Denver,Colorado,39.7392364,-104.984862,,
789,XO Denver,XO Communications,313 Inverness Way South,Englewood,Colorado,39.6482059,-104.9879641,,
790,XO Englewood,XO Communications,"9706 E. Easter Avenue, Suite 100 Bldg.C",Englewood,Colorado,39.6482059,-104.9879641,,
791,Billings - Central,iConnect Montana,1030 Central Ave,Billings,Montana,45.7874957,-108.49607,,
792,Parsec Data Center,Parsec Data Management,3450 Gabel Road,Billings,Montana,45.7874957,-108.49607,,
793,Login DC2,"Login, LLC",1855 N 6th Ave,Tucson,Arizona,32.2228765,-110.9748477,,
794,Login Top-Tier Data Center,"Login, LLC","4003 East Speedway Boulevard, Ste 119",Tucson,Arizona,32.2228765,-110.9748477,,
795,Lumen Tucson,Lumen,135 N. 6th Avenue,Tucson,Arizona,32.2228765,-110.9748477,,
796,Simply Bits Vault,Simply Bits LLLC,5225 N. Sabino Canyon,Tucson,Arizona,32.2228765,-110.9748477,,
797,tw telecom Tucson,tw telecom,3836 S Evans Blvd,Tucson,Arizona,32.2228765,-110.9748477,,
798,120 East Van Buren St,Digital Realty,120 East Van Buren Street,Phoenix,Arizona,33.4484367,-112.074141,,
799,2121 South Price Road,Digital Realty,2121 S. Price Road,Chandler,Arizona,33.3061605,-111.84125,,
800,AT&T 1301 W Univesity,AT&T Inc.,1301 W University Drive,Mesa,Arizona,33.4151117,-111.8314792,,
801,ClearData,Cleardata Networks,"4250 E. Camelback Rd., Suite K-300",Phoenix,Arizona,33.4484367,-112.074141,,
802,Cogent Phoenix,"Cogent Communications, Inc.",3410 E. University Drive,Phoenix,Arizona,33.4484367,-112.074141,,
803,CoreLink Phoenix 1,CoreLink Data Centers LLC,"3110 N. Central Ave, Suite B75",Phoenix,Arizona,33.4484367,-112.074141,,
804,CyberTrails,CyberTrails,1919 w Lone Cactus Dr,Phoenix,Arizona,33.4484367,-112.074141,,
805,CyrusOne Phoenix (Chandler),CyrusOne Data Centers,2335 South Ellis St,Chandler,Arizona,33.3061605,-111.84125,,
806,Cyxtera - Phoenix,Cyxtera Technologies,615 N 48th St,Phoenix,Arizona,33.4484367,-112.074141,,
807,DediPath PHX,DediPath,2500 W Frye Road,Chandler,Arizona,33.3061605,-111.84125,,
808,EdgeConneX Phoenix - EDCPHX01,EdgeConneX,"3011 S. 52nd St, Suite 107",Tempe,Arizona,33.4255056,-111.9400091,,
809,Flexential Phoenix - Deer Valley,Flexential,1850 W. Deer Valley Rd,Phoenix,Arizona,33.4484367,-112.074141,,
810,Global Crossing,Global Crossing Limited,801 South 16th Street,Phoenix,Arizona,33.4484367,-112.074141,,
811,H5 Data Centers Phoenix,H5 Data Centers,2600 W. Germann Rd.,Chandler,Arizona,33.3061605,-111.84125,,
812,Iron Mountain Data Centers AZP-1,Iron Mountain,615 North 48th Street,Phoenix,Arizona,33.4484367,-112.074141,,
813,Iron Mountain Data Centers AZP-2,Iron Mountain,4802 East Van Buren Street,Phoenix,Arizona,33.4484367,-112.074141,,
814,Iron Mountain Data Centers AZS-1,Iron Mountain,8521 E. Princess Drive,Scottsdale,Arizona,33.4942189,-111.9260184,,
815,Lumen Phoenix 1,Lumen,811 South Sixteenth Street,Phoenix,Arizona,33.4484367,-112.074141,,
816,Lumen Phoenix 2,Lumen,17 E. Virginia Ave,Phoenix,Arizona,33.4484367,-112.074141,,
817,NFINIT Phoenix (VBDC),NFINIT,120 East Van Buren,Phoenix,Arizona,33.4484367,-112.074141,,
818,NTT Phoenix PH1,NTT Global Data Centers Americas,10302 E. Elliot Road,Mesa,Arizona,33.4151117,-111.8314792,,
819,Omnis Network,Omnis Network,1005 W. Geneva Dr.,Tempe,Arizona,33.4255056,-111.9400091,,
820,Phoenix AZ,Transcendent,Secret location,Phoenix,Arizona,33.4484367,-112.074141,,
821,Phoenix Data Center Campus,EdgeCore Internet Real Estate,3856 S Everton Terrace,Mesa,Arizona,33.4151117,-111.8314792,,
822,Phoenix I - Goodyear,Stream Data Centers,2950 S. Litchfield Road,Goodyear,Arizona,33.4353672,-112.3576,,
823,Phoenix Internet,Phoenix Internet,"2922 W Clarendon Ave, Phoenix",Phoenix,Arizona,33.4484367,-112.074141,,
824,Phoenix NAP,"EC Suite, LLC",3402 E. University Dr.,Phoenix,Arizona,33.4484367,-112.074141,,
825,PhoenixNAP,PhoenixNAP,3402 E. University Dr.,Phoenix,Arizona,33.4484367,-112.074141,,
826,PhoenixNAP,PhoenixNAP,2353 W University Dr,Tempe,Arizona,33.4255056,-111.9400091,,
827,PX1 Evocative Data Center,Evocative Data Centers,2500 W Union Hills Drive,Phoenix,Arizona,33.4484367,-112.074141,,
828,QTS Phoenix 2,QTS Data Centers,1100 - 1600 40th Street,Phoenix,Arizona,33.4484367,-112.074141,,
829,tw telecom Phoenix #1,tw telecom,3220 N 3rd St,Phoenix,Arizona,33.4484367,-112.074141,,
830,tw telecom Phoenix #2,tw telecom,3300 N Central Ave,Phoenix,Arizona,33.4484367,-112.074141,,
831,XO Phoenix,XO Communications,120 East Van Buren Street,Phoenix,Arizona,33.4484367,-112.074141,,
832,XO Phoenix #2,XO Communications,"3930 E. Watkins, 1st Floor",Phoenix,Arizona,33.4484367,-112.074141,,
833,zColo - 3110 N Central St,zColo,3110 N Central St,Phoenix,Arizona,33.4484367,-112.074141,,
834,Fiberpipe,"Fiberpipe, Inc.",10215 West Emerald St.,Boise,Idaho,43.6166163,-116.200886,,
835,Involta Data Center Boise #2,Involta,1415 S. Eagle Flight Way,Boise,Idaho,43.6166163,-116.200886,,
836,SolutionPro Boise Idaho,SolutionPro Inc,1450 Eagle Flight Way,Boise,Idaho,43.6166163,-116.200886,,
837,tw telecom Boise #1,tw telecom,2223 W Airportway,Boise,Idaho,43.6166163,-116.200886,,
838,tw telecom Boise #2,tw telecom,199 N Capitol Blvd,Boise,Idaho,43.6166163,-116.200886,,
839,AISO Solar Powered Data Center,AISO.Net,25655 Louisa Lane,Romoland,California,33.743252850000005,-117.16266174164082,,
840,Lumen Riverside 1,Lumen,1550 Malborough Avenue,Riverside,California,33.9533546,-117.3961623,,
841,MarquisNet Riverside Data Center,"MarquisNetTM, LLC.",1960 Chicago Ave,Riverside,California,33.9533546,-117.3961623,,
842,H5 Data Centers Quincy,H5 Data Centers,1711 M Street NE,Quincy,Washington,47.2343673,-119.8535054,,
843,Interlink,Interlink,418 E Pacific Ste 102,Spokane,Washington,47.6571934,-117.42351,,
844,Neutron,Neutron,422 W Riverside,Spokane,Washington,47.6571934,-117.42351,,
845,"OrbitCom, Inc. - Spokane","OrbitCom, Inc.",118 N. Stevens St,Spokane,Washington,47.6571934,-117.42351,,
846,TierPoint Spokane,TierPoint,23403 E. Mission Avenue,Liberty Lake,Washington,47.6681145,-117.104865,,
847,tw telecom Spokane,tw telecom,601 W Main Ave,Spokane,Washington,47.6571934,-117.42351,,
848,Aecero,Aecero,Secret location,Anaheim,California,33.8347516,-117.911732,,
849,Alchemy.net,"Alchemy Communications, Inc.",2460 Main St,Irvine,California,33.6856969,-117.8259819,,
850,Cogent Orange County,"Cogent Communications, Inc.","300 S Harbor Blvd., Suite 510",Anaheim,California,33.8347516,-117.911732,,
851,Cyxtera - Los Angeles LAX3,Cyxtera Technologies,17836 Gillette Ave.,Irvine,California,33.6856969,-117.8259819,,
852,HOSTING - Irvine,HOSTING,16842 Von Karman Ave,Irvine,California,33.6856969,-117.8259819,,
853,Latisys-Irvine,Latisys,17222 Von Karman Avenue,Irvine,California,33.6856969,-117.8259819,,
854,Lumen Anaheim 1,Lumen,2461 W. La Palma Avenue,Anaheim,California,33.8347516,-117.911732,,
855,Millennium Systems Inc,Millennium Systems,580 Wald,Irvine,California,33.6856969,-117.8259819,,
856,Orange County Internet Exchange,Telekenex Inc.,2001 E. Dyer Rd,Santa Ana,California,33.7494951,-117.8732213,,
857,SMS Datacenter,SMS Datacenter,2525 Main Street Suite 120,Irvine,California,33.6856969,-117.8259819,,
858,tw telecom Orange County,tw telecom,7 Mason,Irvine,California,33.6856969,-117.8259819,,
859,Lumen Bakerfield 1,Lumen,2020 P. Street,Bakersfield,California,35.3738712,-119.0194639,,
860,tw telecom Bakersfield,tw telecom,1430 Truxtun Ave,Bakersfield,California,35.3738712,-119.0194639,,
861,Lumen Fresno 1,Lumen,305 W. Napa Ave,Fresno,California,36.7394421,-119.7848307,,
862,tw telecom Fresno,tw telecom,7576 N Del Mar Ave,Fresno,California,36.7394421,-119.7848307,,
863,CC Communications,CC Communications,50 W. Williams Ave,Fallon,Nevada,39.4745166,-118.777895,,
864,Lumen Reno 1,Lumen,220 Gardner Street,reno,Nevada,39.5261206,-119.8126581,,
865,Reno Data Center Campus,EdgeCore Internet Real Estate,3000 USA Parkway,McCarran,Nevada,36.0861034,-115.16111989849915,,
866,Roller Network,Roller Network LLC,3545 Airway Dr.,Reno,Nevada,39.5261206,-119.8126581,,
867,Switch TAHOE RENO,Switch,1 SUPERLOOP Circle,McCarran,Nevada,36.0861034,-115.16111989849915,,
868,Xogenous,Xogenous,1175 Fairview Drive,Carson City,Nevada,39.1698022,-119.7575628,,
869,Lumen Modesto,Lumen,1224 13th Street,Modesto,California,37.6390972,-120.9968782,,
870,Modesto City Tower,"Ayera Technologies, Inc.",801 Tenth Street,Modesto,California,37.6390972,-120.9968782,,
871,Columbia 1,Cascade Divide,207 SW Columbia St,Bend,Oregon,44.0581728,-121.3153096,,
872,Conscious Data Centers,Conscious Capital Data Center,3141 Data Dr,Rancho Cordova,California,38.5890723,-121.302728,,
873,Datacate Inc.,Datacate Inc.,2999 Gold Canal Dr.,Rancho Cordova,California,38.5890723,-121.302728,,
874,DataNOC.com,DataNOC.com,10321 Placer Lane,Sacramento,California,38.5810606,-121.493895,,
875,EdgeConneX Sacramento - EDCSAC01,EdgeConneX,10980 Gold Center Dr,Rancho Cordova,California,38.5890723,-121.302728,,
876,iStreet Solutions,"iStreet Solutions, LLC",1075 Triangle Ct.,West Sacramento,California,38.5804609,-121.530234,,
877,Lumen Sacramento 2,Lumen,1005 North B Street,Sacramento,California,38.5810606,-121.493895,,
878,NTT Sacramento CA1,NTT Global Data Centers Americas,1200 Striker Avenue,Sacramento,California,38.5810606,-121.493895,,
879,NTT Sacramento CA2,NTT Global Data Centers Americas,1200 Striker Avenue,Sacramento,California,38.5810606,-121.493895,,
880,NTT Sacramento CA3,NTT Global Data Centers Americas,1625 West National Drive,Sacramento,California,38.5810606,-121.493895,,
881,Prime Data Centers,GroupOne,2407 AK St,McClellan,California,40.4751408,-123.7086499,,
882,Prime Data Centers - Sacramento,Prime Data Centers,3140 Peacekeeper Way,McClellan Park,California,33.12754605000001,-117.2814001459839,,
883,Prime Sacramento Building One,Prime Data Centers,2407 AK Street,McClellan Park,California,33.12754605000001,-117.2814001459839,,
884,QTS Sacramento,QTS Data Centers,1100 North Market Blvd,Sacramento,California,38.5810606,-121.493895,,
885,Quest McClellan BRC,Quest,4235 Forcum Ave,Sacramento,California,38.5810606,-121.493895,,
886,Quest Roseville HABC,Quest,9000 Foothills Blvd,Roseville,California,38.7521235,-121.2880059,,
887,SungardAS Rancho Cordova,Sungard Availability Services,11085 Sun Center Dr,Rancho Cordova,California,38.5890723,-121.302728,,
888,720 2nd Street,Digital Realty,720 2nd street,Oakland,California,37.8044557,-122.2713563,,
889,Cogent Oakland,"Cogent Communications, Inc.",1624 Franklin Street,Oakland,California,37.8044557,-122.2713563,,
890,2001 Sixth Avenue,Digital Realty,2001 Sixth Avenue,Seattle,Washington,47.6038321,-122.330062,,
891,2020 5th Avenue,Digital Realty,2020 5th Avenue,Seattle,Washington,47.6038321,-122.330062,,
892,Adtaq Issaquah,"Adtaq Internet, LLC",Secret location,Issaquah,Washington,47.5348778,-122.0432974,,
893,Astute Hosting Seattle,Astute Hosting Incorporated,2001 6th Ave,Seattle,Washington,47.6038321,-122.330062,,
894,BitPusher,"BitPusher, LLC.",12101 Tukwila International Blvd,Tukwila,Washington,47.4627356,-122.2559156,,
895,Bothell Data Services,Bothell Data Services,3301 Monte Villa Pkwy,Bothell,Washington,47.7598697,-122.2068288,,
896,Cogent Seattle,"Cogent Communications, Inc.",32275 32nd Ave. S.,Federal Way,Washington,47.313494,-122.3393103,,
897,Colocation Northwest - Redmond,Colocation NorthWest,2520 152nd Ave NE,Redmond,Washington,47.6694141,-122.1238767,,
898,Colocation Northwest - Seattle,Colocation NorthWest,2001 6th Ave,Seattle,Washington,47.6038321,-122.330062,,
899,ColoCenters,"ColoCenters, Inc.",2001 Sixth Avenue,Seattle,Washington,47.6038321,-122.330062,,
900,ColoCrossing SEA1,ColoCrossing,12201 Tukwila International Blvd,Seattle,Washington,47.6038321,-122.330062,,
901,ColoInSeattle.com,ColoInSeattle.com,12201 Tukwila International Blvd Ste 100,Seattle,Washington,47.6038321,-122.330062,,
902,Cortland Communications,Cortland Electronics Corp,2001 Sixth Avenue,Seattle,Washington,47.6038321,-122.330062,,
903,Cyxtera - Seattle SEA1-A,Cyxtera Technologies,12301 Tukwila International Blvd,Tukwila,Washington,47.4627356,-122.2559156,,
904,Cyxtera - Seattle SEA1-B,Cyxtera Technologies,3355 S 120th Pl,Seattle,Washington,47.6038321,-122.330062,,
905,Cyxtera - Seattle SEA2-A,Cyxtera Technologies,6101 S 180th St,Tukwila,Washington,47.4627356,-122.2559156,,
906,Digital Fortress Downtown Seattle,Digital Fortress,3101 Western Ave,Seattle,Washington,47.6038321,-122.330062,,
907,Digital Fortress-Sabey Campus,Digital Fortress,12101 Tukwilla International Boulevard,Seattle,Washington,47.6038321,-122.330062,,
908,EdgeConneX Seattle - EDCSEA01,EdgeConneX,"3425 S 116th St, Building 6, Suite 133",Seattle,Washington,47.6038321,-122.330062,,
909,Equinix SE2,"Equinix, Inc",2001 Sixth Ave Suite 1202,Seattle,Washington,47.6038321,-122.330062,,
910,H5 Data Centers Seattle,H5 Data Centers,1000 Denny Way,South Lake Union,Washington,47.6231611,-122.3383816,,
911,Hivelocity - SEA1,Hivelocity,2001 6th Ave,Seattle,Washington,47.6038321,-122.330062,,
912,INAP Seattle 140 4th Ave. North,INAP,140 4th Ave. North,Seattle,Washington,47.6038321,-122.330062,,
913,INAP Seattle 3555 120th Place,INAP,3555 S 120th Place,Seattle,Washington,47.6038321,-122.330062,,
914,Isomedia Westin,"ISOMEDIA, Inc.",2001 Sixth Avenue,Seattle,Washington,47.6038321,-122.330062,,
915,Lumen Seattle,Lumen,"1000 Denny Way, 4th Floor",Seattle,Washington,47.6038321,-122.330062,,
916,Lumen Seattle 1,Lumen,1505 5th Avenue,Seattle,Washington,47.6038321,-122.330062,,
917,Lunavi - Seattle,Lunavi,"2001 6th Avenue, Suite 3200",Seattle,Washington,47.6038321,-122.330062,,
918,Optic Fusion - Westin,"Optic Fusion, Inc.",2001 6th Ave,Seattle,Washington,47.6038321,-122.330062,,
919,Overlake business Center,"ISOMEDIA, Inc.",2400 152nd ave NE,Redmond,Washington,47.6694141,-122.1238767,,
920,SEA2,CherryRoad Technologies,3311 South 120th Place,Tukwila,Washington,47.4627356,-122.2559156,,
921,Seattle Colocation,Seattle Colocation,12842 Interurban Ave S,Seattle,Washington,47.6038321,-122.330062,,
922,Semaphore Seattle,Semaphore Corporation,2001 6th Avenue,Seattle,Washington,47.6038321,-122.330062,,
923,SoftLayer - SEA01,SoftLayer,3355 South 120th Place,Seattle,Washington,47.6038321,-122.330062,,
924,Superb SEA2 - Seattle,HopOne Internet,3311 S. 120th Pl.,Seattle,Washington,47.6038321,-122.330062,,
925,TierPoint Seattle,TierPoint,"140 Fourth Ave. N, Suite 360",Seattle,Washington,47.6038321,-122.330062,,
926,TW Telecom - Bothell,tw telecom,22722 29th Drive SE,Bothell,Washington,47.7598697,-122.2068288,,
927,tw telecom Seattle,tw telecom,223 Taylor Ave N,Seattle,Washington,47.6038321,-122.330062,,
928,Ubiquity - Seattle,Ubiquity Server Solutions,12101 Tukwila International Blvd Suite 100,Tukwila,Washington,47.4627356,-122.2559156,,
929,WORLDLINK North Datacenter,WORLDLINK,Canyon Park,Bothell,Washington,47.7598697,-122.2068288,,
930,WORLDLINK South Datacenter,WORLDLINK,1300 SW 7th St Suite 112,Tukwila,Washington,47.4627356,-122.2559156,,
931,Wowrack.com,"Wow Technologies, Inc.",2001 Sixth Avenue,Seattle,Washington,47.6038321,-122.330062,,
932,XO Seattle,XO Communications,1100 Second Avenue,Seattle,Washington,47.6038321,-122.330062,,
933,zColo - 12201 Tukwila Intl Blvd,zColo,12201 Tukwila Intl Blvd,Tukwila,Washington,47.4627356,-122.2559156,,
934,zColo - 2001 6th St,zColo,2001 6th St,Seattle,Washington,47.6038321,-122.330062,,
935,zColo - 3311 S 120th Pl,zColo,3311 S 120th Pl,Tukwila,Washington,47.4627356,-122.2559156,,
936,Centeris South Hill Data Center,benaroya company,1023 - 39th Avenue SE,Puyallup,Washington,47.1849009,-122.29214,,
937,Colocation Northwest - Tacoma,Colocation NorthWest,1101 A St,Tacoma,Washington,47.2495798,-122.439874,,
938,Optic Fusion - Perkins Building,"Optic Fusion, Inc.",1101 A St.,Tacoma,Washington,47.2495798,-122.439874,,
939,3825 NW Aloclek Place,Digital Realty,3825 NW Aloclek Place,Hillsboro,Oregon,45.5228939,-122.989827,,
940,6675 NE 62nd Ave,Digital Realty,6675 NE 62nd Ave,Hillsboro,Oregon,45.5228939,-122.989827,,
941,Atmosera Data Center 1,Atmosera,9705 SW Sunshine Court,Beaverton,Oregon,45.4871723,-122.80378,,
942,Atmosera Data Center 2,Atmosera,9610 SW Sunshine Ct,Beaverton,Oregon,45.4871723,-122.80378,,
943,Atmosera Data Center 3,Atmosera,"511 SW 10th Ave., 3rd floor",Portland,Oregon,45.5202471,-122.674194,,
944,DirectSpace Networks,DirectSpace Networks,707 SW Washington St Suite 1705,Portland,Oregon,45.5202471,-122.674194,,
945,DTS-NET Colocation & Hosting,"DTS-NET, LLC",625 SW Stark Street,Portland,Oregon,45.5202471,-122.674194,,
946,EdgeConneX Portland - EDCPOR01,EdgeConneX,"23245 NW Evergreen Parkway - Building C, Suite C-300",Hillsboro,Oregon,45.5228939,-122.989827,,
947,Flexential Hillsboro 3,Flexential,4091 NE Constable Street,Hillsboro,Oregon,45.5228939,-122.989827,,
948,Flexential Portland - Hillsboro 1,Flexential,3935 NE Aloclek Place,Hillsboro,Oregon,45.5228939,-122.989827,,
949,Flexential Portland - Hillsboro 2,Flexential,5737 NE Huffman St.,Hillsboro,Oregon,45.5228939,-122.989827,,
950,H5 Data Centers Portland,H5 Data Centers,1233 NW 12th Ave,Portland,Oregon,45.5202471,-122.674194,,
951,Hillsboro Datacenter,Opus Interactive,8135 NE Evergreen Parkway,Hillsboro,Oregon,45.5228939,-122.989827,,
952,Lumen Portland 1,Lumen,1335 NEW Northrup Street,Portland,Oregon,45.5202471,-122.674194,,
953,Lumen Portland 2,Lumen,707 SW Washington Avenue,Portland,Oregon,45.5202471,-122.674194,,
954,NTT Hillsboro HI1,NTT Global Data Centers Americas,4050 NE Evergreen Road,Hillsboro,Oregon,45.5228939,-122.989827,,
955,"Opus Interactive - Portland, Oregon",Opus Interactive,1225 W Burnside Street,Portland,Oregon,45.5202471,-122.674194,,
956,QTS Hillsboro,QTS Data Centers,4951 NE Huffman Street,Hillsboro,Oregon,45.5228939,-122.989827,,
957,STACK INFRASTRUCTURE,STACK INFRASTRUCTURE,21515 NW Evergreen Parkway,Hillsboro,Oregon,45.5228939,-122.989827,,
958,Tata Communications Hillsboro,Tata Communications,21101 NW Evergreen Parkway,Hillsboro,Oregon,45.5228939,-122.989827,,
959,tw telecom Cedar Hills,tw telecom,14197 SW Millikan Way,Cedar Hills,Oregon,45.5068379,-122.8022092,,
960,tw telecom Portland,tw telecom,520 SW 6th Ave,Portland,Oregon,45.5202471,-122.674194,,
961,Weberz Hosting,Weberz Hosting,22414 N.E. Townsend Way,Fairview,Oregon,45.5385457,-122.433051,,
962,XO Portland,XO Communications,"10575 SW Cascade Ave, Suite F",Tigard,Oregon,45.4307473,-122.771933,,
963,XO Portland #2,XO Communications,9000 SW Nimbus Ave,Beaverton,Oregon,45.4871723,-122.80378,,
964,"DRFortress - Honolulu, Hawaii","DR Fortress, LLC","3375 Koapaka Street, Suite D198",Honolulu,Hawaii,21.304547,-157.855676,,
965,Endeavor - Honolulu Data Center,"Systemmetrics - Honolulu, Hawaii - Data Center",2339 Kamehameha Highway,Honolulu,Hawaii,21.304547,-157.855676,,
966,MTP Data Center,Servpac Inc.,200 Kahelu Ave,Mililani,Hawaii,21.4508308,-158.0095783,,
967,Puahale,Servpac Inc.,1931 N King St,Honolulu,Hawaii,21.304547,-157.855676,,
968,tw telecom Honolulu,tw telecom,550 Paiea St,Honolulu,Hawaii,21.304547,-157.855676,,
969,Southfield,123 NET,,,,,,,
970,325 Hudson Street,325 Hudson Street,,,,,,,
971,360TCS,360TCS,,,,,,,
972,Buffalo,365 Data Centers,,,,,,1055.0,
973,Chicago,365 Data Centers,,,,,,1279.0,
974,Indianapolis,365 Data Centers,,,,,,976.0,
975,Nashville,365 Data Centers,,,,,,1588.0,
976,New York,365 Data Centers,,,,,,918.0,
977,Philadelphia,365 Data Centers,,,,,,936.0,
978,Tampa,365 Data Centers,,,,,,847.0,
979,421 West Church Street,421 West Church Street,,,,,,,
980,470 Exchange,470 exchange,,,,,,,
981,511 Building - Minnesota Technology Center,511 Building,,,,,,929.0,
982,Madison,5Nines,,,,,,,
983,FedConnect San Francisco,60 Fed LLC,,,,,,,
984,"Oliver Street, LLC",800 Oliver,,,,,,,
985,910Telecom,910Telecom,,,,,,,
986,Comfluent 639,910Telecom,,,,,,,
987,AcroNOC INC,AcroNOC,,,,,,,
988,Kansas City,Admo.net,,,,,,,
989,Advance2000,Advance2000,,,,,,,
990,McClellan Park/Sacramento,Advanced Data Centers,,,,,,21367.0,50000.0
991,AISO Solar Powered Data Center,Aiso,,,,,,,
992,Downtown Data Center,Alchemy Communications,,,,,,,
993,Irvine Data Center,Alchemy Communications,,,,,,,
994,LAX Data Center,Alchemy Communications,,,,,,,
995,Silicon Valley,Alibaba Group,,,,,,,
996,Austin: 1905 E. 6th Street,Alpheus Communications,,,,,,,
997,Dallas: 2323 Bryan,Alpheus Communications,,,,,,,
998,Dallas: 2914 Taylor Steet,Alpheus Communications,,,,,,,
999,Fort Worth: 307 & 309 West 7th St,Alpheus Communications,,,,,,,
1000,Houston: 777 Walker (2 Shell Plaza),Alpheus Communications,,,,,,,
1001,Boardman,Amazon,,,,,,,
1002,Dallas/Fort Worth,Amazon,,,,,,,
1003,Dublin,Amazon,,,,,,,
1004,Los Angeles,Amazon,,,,,,,
1005,Loudoun,Amazon,,,,,,,
1006,McNary,Amazon,,,,,,,
1007,Orange Township,Amazon,,,,,,,
1008,Sterling,Amazon,,,,,,,
1009,Findlay Commerce Park,American Electric Power (AEP),,,,,,,
1010,Fiber Alley Data Center,American Internet Services (AIS),,,,,,1167.0,1128.0
1011,Lightwave Data Center,American Internet Services (AIS),,,,,,5307.0,9100.0
1012,San Diego Tech Center,American Internet Services (AIS),,,,,,1393.0,750.0
1013,Van Buren Data Center,American Internet Services (AIS),,,,,,602.0,810.0
1014,Chicago,American Technology Services,,,,,,,
1015,216 West Jackson Boulevard,ANET Internet Solutions,,,,,,,
1016,Maiden,Apple,,,,,,30000.0,5000.0
1017,Maiden 2,Apple,,,,,,,
1018,Mesa,Apple,,,,,,,
1019,Newark,Apple,,,,,,,
1020,Prineville,Apple,,,,,,,
1021,Reno,Apple,,,,,,,
1022,Arbinet 75 Broad St,Arbinet,,,,,,,
1023,Arizona Data Centers,Arizona Data Centers,,,,,,,
1024,ARK Data Center,Ark Datacenters,,,,,,,
1025,Lenexa Data Center,Arsalon Technologies,,,,,,,
1026,Overland Park Data Center,Arsalon Technologies,,,,,,,
1027,Pine Ridge Data Center,Arsalon Technologies,,,,,,,
1028,Chicago 2 (North Railroad),Ascent Corp,,,,,,23225.0,54000.0
1029,Atjeu Hosting,Atjeu,,,,,,,
1030,Atlanta NAP (GNAX Atlanta),Atlanta NAP,,,,,,,
1031,Atlantech Online,"Atlantech Online, Inc.",,,,,,,
1032,Atlantic Metro Communications,Atlantic Metro Communications,,,,,,,
1033,Atlantic Metro Communications LGA6,Atlantic Metro Communications,,,,,,,
1034,Atlantic Metro Communications ORD0,Atlantic Metro Communications,,,,,,,
1035,Atlantic Metro LGA4 IDC,Atlantic Metro Communications,,,,,,,
1036,Orlando,Atlantic.Net,,,,,,,
1037,111 Town Square Place,Atlas Communications Ltd.,,,,,,,
1038,Atlanta Data Center,ATLDC,,,,,,,
1039,Aurora Sinai Medical Center,Aurora Health Care,,,,,,,
1040,Milwaukee,Aurora Health Care,,,,,,,
1041,Crucial Servers Boston,Axcelx Technologies LLC,,,,,,,
1042,Modesto City Tower,Ayera Technologies,,,,,,,
1043,Baltimore Technology Park,Baltimore Technology Park,,,,,,,
1044,55 Marietta,Bank Building Limited Partnership,,,,,,,
1045,Gilbert,Baselayer,,,,,,,
1046,2050 Martin Avenue,Bay Area Internet Services (BAIS),,,,,,,
1047,Monroe,Bayou Internet and Communications,,,,,,,
1048,One Financial Place,Behringer Harvard,,,,,,,
1049,Bestline Communications,Bestline Communications,,,,,,,
1050,BHI NOC,BHI,,,,,,,
1051,Bigbyte.cc Corp.,Bigbyte.cc Corp.,,,,,,,
1052,Binary.net,Binary.net,,,,,,,
1053,Las Vegas,Birch,,,,,,,
1054,New York,BlackRock,,,,,,,
1055,Orangetown,Bloomberg,,,,,,,
1056,BlueBridge Networks,BlueBridge Networks,,,,,,,
1057,Bluelock IN,Bluelock,,,,,,,
1058,Bluemile Columbus DC,Bluemile,,,,,,,
1059,LBJ Data Center,Boxer Property Management Corporation,,,,,,,
1060,Bresco Broadband,Bresco Broadband,,,,,,,
1061,BroadRiver DC1,BroadRiver,,,,,,,
1062,BroadRiver DC3,BroadRiver,,,,,,,
1063,811 10th Ave,Brookfield Infrastructure Partners LP,,,,,,4075.0,
